reply_count,frequency
0,286435
1,10561
2,2450
3,848
4,496
5,284
6,217
7,143
8,133
9,95
10,65
11,55
12,46
13,46
14,39
15,33
16,22
17,26
18,19
19,15
20,19
21,13
22,14
23,9
24,10
25,8
26,7
27,4
28,13
29,6
30,8
31,5
32,9
33,8
34,4
35,6
36,2
37,1
38,11
39,5
40,1
41,4
42,1
43,3
44,2
45,4
46,1
47,2
48,2
49,1
50,6
51,1
52,3
53,3
54,2
55,2
56,2
57,3
58,1
59,5
60,1
61,1
62,4
64,2
65,3
66,2
67,3
69,3
70,2
71,1
72,1
75,2
76,1
78,1
79,1
83,1
86,1
88,1
89,1
91,2
92,1
94,2
96,1
97,1
100,1
102,1
104,2
106,1
109,1
110,1
112,1
113,2
114,1
116,1
117,2
120,1
121,1
122,1
128,1
141,1
146,1
150,1
153,1
158,1
160,1
173,1
176,1
180,1
183,2
184,3
186,2
193,1
201,1
208,1
222,1
225,1
228,2
232,1
236,1
257,1
264,1
265,1
286,1
311,1
313,1
318,1
323,1
329,1
347,1
353,1
381,2
548,1
554,1
614,2
743,1
