reply_count,frequency
0,387565
1,24925
2,4751
3,1841
4,1100
5,655
6,476
7,341
8,300
9,227
10,187
11,173
12,135
13,130
14,91
15,98
16,82
17,75
18,78
19,61
20,49
21,47
22,34
23,38
24,38
25,31
26,35
27,29
28,28
29,19
30,23
31,28
32,20
33,15
34,17
35,20
36,19
37,16
38,10
39,7
40,14
41,12
42,12
43,10
44,5
45,10
46,9
47,3
48,11
49,11
50,16
51,10
52,9
53,9
54,7
55,3
56,9
57,2
58,6
59,2
60,4
61,4
62,3
63,4
64,4
65,6
66,6
67,1
68,2
69,2
70,2
71,3
72,9
73,6
74,1
75,4
76,5
77,5
78,3
79,1
80,2
81,2
82,2
83,3
84,1
86,1
87,2
88,1
89,1
90,1
91,1
92,1
93,3
94,1
95,1
96,3
97,4
98,2
99,2
100,1
101,1
102,2
103,1
104,1
105,2
107,3
108,3
109,2
110,2
113,3
115,3
116,4
117,1
119,2
121,1
122,2
123,2
125,1
126,1
128,1
129,1
131,1
135,2
137,1
138,1
139,2
140,2
144,1
146,1
147,1
150,2
151,2
154,3
155,3
157,1
160,1
164,1
165,1
168,1
170,1
171,1
172,1
173,3
174,1
175,1
177,1
182,2
185,1
186,1
187,2
188,1
189,1
190,1
195,2
203,1
208,1
212,1
215,1
218,1
220,1
224,1
228,1
230,1
239,1
246,1
250,1
251,1
254,2
256,1
262,1
316,1
320,1
330,1
365,1
393,2
417,1
419,1
454,1
476,1
546,1
562,1
569,1
584,2
587,1
628,1
792,2
793,2
889,1
925,1
