User_ID,Username,Total_Comments,Total_Likes,Channels,Comment_Count_Per_Channel,Likes_Per_Channel
UCLjCQNnZtnmWUtZOUYPM9vQ,@NabhanZaman,15,19239,"Bangladesh,India,Pakistan",Bangladesh:11|India:2|Pakistan:2,Bangladesh:1342|India:0|Pakistan:17897
UCZSn08-4EY4C1K8YVf5xA7w,@rheetam,52,17315,"Bangladesh,India,Pakistan",Bangladesh:7|India:1|Pakistan:44,Bangladesh:7|India:0|Pakistan:17308
UCjD-kTq65gEMoeyhXAdGf2w,@loveonly-td8hw,19,9297,"Bangladesh,India,Pakistan",Bangladesh:1|India:5|Pakistan:13,Bangladesh:1|India:5|Pakistan:9291
UCXP9-zXD3Ln5a7bCppsGQAg,@paramsingh4104,60,7294,"Bangladesh,India,Pakistan",Bangladesh:2|India:26|Pakistan:32,Bangladesh:1|India:4274|Pakistan:3019
UC6WopLtCb4GHmu9MCwyRHTg,@zarghunkan,80,7268,"Bangladesh,India,Pakistan",Bangladesh:5|India:2|Pakistan:73,Bangladesh:213|India:2|Pakistan:7053
UCnrLmor_T0D4VAHzq70N7KQ,@SANGEETARIST,18,7158,"Bangladesh,India,Pakistan",Bangladesh:7|India:6|Pakistan:5,Bangladesh:1260|India:771|Pakistan:5127
UCYg6V1z87p9p-P4bejIGzaA,@neelchatterjee774,8,6693,"Bangladesh,India,Pakistan",Bangladesh:3|India:4|Pakistan:1,Bangladesh:2|India:6689|Pakistan:2
UC8RPTOUzbVhqmOlFbbqstJA,@Judwaaz,7,6620,"Bangladesh,India,Pakistan",Bangladesh:5|India:1|Pakistan:1,Bangladesh:4571|India:8|Pakistan:2041
UCpqWuzOHO9_tVt_eGMcW4gg,@HassaanQ,132,5546,"Bangladesh,India,Pakistan",Bangladesh:4|India:2|Pakistan:126,Bangladesh:134|India:4|Pakistan:5408
UC4A0AdZft6ZT9A6i5LX9iPg,@parvezs4289,3,5221,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:1,Bangladesh:21|India:0|Pakistan:5200
UCx5v-E8Hg4Lpez60PwyOFng,@Archita19,5,4567,"Bangladesh,India,Pakistan",Bangladesh:1|India:1|Pakistan:3,Bangladesh:9|India:1|Pakistan:4557
UCMzAe9KY8QWPsxDQdoZN55Q,@supra_gliflozin,17,2918,"Bangladesh,India,Pakistan",Bangladesh:7|India:6|Pakistan:4,Bangladesh:104|India:271|Pakistan:2543
UC1lWQwoPT3MsAudjKW1XxDw,@pradeepmca,7,2545,"Bangladesh,India,Pakistan",Bangladesh:3|India:3|Pakistan:1,Bangladesh:276|India:38|Pakistan:2231
UCFBb5LKvogvGFFepovficCw,@TeefoReactions,18,2508,"Bangladesh,India,Pakistan",Bangladesh:12|India:2|Pakistan:4,Bangladesh:2296|India:107|Pakistan:105
UCAaVYEib6nDECvpvZGBwc0Q,@soukaryasamanta8073,13,2414,"Bangladesh,India,Pakistan",Bangladesh:2|India:1|Pakistan:10,Bangladesh:0|India:1|Pakistan:2413
UC-HaKkCIyY6qbt5kHr02g6w,@nabilhossain4442,6,2286,"Bangladesh,India,Pakistan",Bangladesh:3|India:1|Pakistan:2,Bangladesh:115|India:1|Pakistan:2170
UCw8kvGVRFs93MEwYaf0y9RA,@righthandeddoc,10,2281,"Bangladesh,India,Pakistan",Bangladesh:5|India:2|Pakistan:3,Bangladesh:2265|India:1|Pakistan:15
UCYtg99VVccjVmqzemBp5BPA,@sayanmajumdar9492,16,2271,"Bangladesh,India,Pakistan",Bangladesh:13|India:2|Pakistan:1,Bangladesh:2268|India:1|Pakistan:2
UC4OzvVIjRUC53AHUxS-mI2Q,@Salman.XX2,32,2262,"Bangladesh,India,Pakistan",Bangladesh:2|India:2|Pakistan:28,Bangladesh:2|India:2|Pakistan:2258
UCdiRozuey10ajw6VKIV1UOg,@ajitdubey3309,36,2104,"Bangladesh,India,Pakistan",Bangladesh:1|India:4|Pakistan:31,Bangladesh:0|India:22|Pakistan:2082
UCQv18_BWIjhuluZ2U2ROlVA,@Epicurean999,8,2084,"Bangladesh,India,Pakistan",Bangladesh:1|India:3|Pakistan:4,Bangladesh:17|India:641|Pakistan:1426
UC6LCRaMtxwJyOsj8QfZMd7A,@zainabsheikh9402,16,1984,"Bangladesh,India,Pakistan",Bangladesh:1|India:3|Pakistan:12,Bangladesh:3|India:64|Pakistan:1917
